編號,籤名,干支,卦象,屬性方位,籤詩
32,第三十二籤,己卯,○●●　●●○,屬土利年　四方皆宜,"龍虎相交在門前、
此事必定兩相連、
黃金忽然變成鐵、
何用作福問神仙。"
33,第三十三籤,己巳,○●●　○○●,屬木利春　宜其東方,"欲去長江水闊茫、
行舟把定未遭風、
戶內用心再作福、
看看魚水得相逢。"
34,第三十四籤,己未,○●○●○●,屬火利夏　宜其南方,"危險高山行過盡、
莫嫌此路有重重、
若見蘭桂漸漸發、
長蛇反轉變成龍。"
35,第三十五籤,己酉,●●○　●●●,屬土利年　四方皆宜,"此事何須用心機、
前途變怪自然知、
看看此去得和合、
漸漸脫出見太平。"
36,第三十六籤,己亥,○●○　○●○,屬木利春　宜其東方,"福如東海壽如山、
君爾何須嘆苦難、
命內自然逢大吉、
祈保分明自平安。"
37,第三十七籤,庚子,○●●　○●●,屬土利年　四方皆宜,"運逢得意身顯變、
君爾身中皆有益、
一向前途無難事、
決意之中保清吉。"
38,第三十八籤,庚寅,●○●　●● ●,屬木利春　宜其東方,"名顯有意在中央、
不須祈禱心自安、
看看早晚日過後、
即時得意在其間。"
39,第三十九籤,庚辰,○○●　●● ●,屬金利秋　宜其西方,"意中若問神仙路、
勸爾且退望高樓、
寬心且守寬心坐、
必然遇得貴人扶。"
40,第四十籤,庚午,●○●　○○○,屬土利年　四方皆宜,"平生富貴成祿位、
君家門戶定光輝、
此中必定無損失、
夫妻百歲喜相隨。"
41,第四十一籤,庚申,○○●　○○○,屬木利春　宜其東方,"今行到此實難推、
歌歌暢飲自徘徊、
雞犬相聞消息近、
婚姻夙世結成雙。"
42,第四十二籤,庚戌,○●○　○○●,屬金利秋　宜其西方,"一重江水一重山、
誰知此去路又難、
任他改求終不過、
是非終久未得安。"
43,第四十三籤,辛丑,●○●　○○●,屬土利年　四方皆宜,"一年作事急如飛、
君爾寬心莫遲疑、
貴人還在千里外、
音信月中漸漸知。"
44,第四十四籤,辛卯,○●●　●●●,屬木利春　宜其東方,"客到前途多得利、
君爾何故兩相疑、
雖是中間逢進退、
月出光輝得運時。"
45,第四十五籤,辛巳,○●○　●●●,屬金利秋　宜其西方,"花開今已結成果、
富貴榮華終到老、
君子小人相會合、
萬事清吉莫煩惱。"
46,第四十六籤,辛未,○●●　○●○,屬土利年　四方皆宜,"功名得意與君顯、
前途富貴喜安然、
若遇一輪明月照、
十五團圓光滿天。"
47,第四十七籤,辛酉,○○●　○●○,屬木利春　宜其東方,"君爾何須問聖跡、
自己心中皆有益、
於今且看月中旬、
凶事脫出化成吉。"
48,第四十八籤,辛亥,○○○　●●●,屬金利秋　宜其西方,"陽世作事未和同、
雲遮月色正朦朧、
心中意欲前途去、
只恐命內運未通。"
49,第四十九籤,壬子,○○○　○●●,屬木利春　宜其東方,"言語雖多不可從、
風雲靜處未行龍、
暗中終得明消息、
君爾何須問重重。"
50,第五十籤,壬寅,●○●　●○○,屬金利秋　宜其西方,"佛前發誓無異心、
且看前途得好音、
此物原來本是鐵、
也能變化得成金。"
51,第五十一籤,壬辰,●●○　●●○,屬水利冬　宜其北方,"東西南北不堪行、
前途此事正可當、
勸君把定莫煩惱、
家門自有保安康。"
52,第五十二籤,壬午,●○○　●○●,屬木利春　宜其東方,"功名事業本由天、
不須掛念意懸懸、
若問中間遲與速、
風雲際會在眼前。"
53,第五十三籤,壬申,○○○　○●○,屬金利秋　宜其西方,"看君來問心中事、
積善之家慶有餘、
運亨財子雙雙至、
指日喜氣溢門閭。"
54,第五十四籤,壬戌,○○●　○○●,屬土利年　四方皆宜,"孤燈寂寂夜沉沉、
萬事清吉萬事成、
若逢陰中有善果、
燒得好香達神明。"
55,第五十五籤,癸丑,●●○　○○●,屬木利春　宜其東方,"須知進退總言虛、
看看發暗未必全、
珠玉深藏還未變、
心中但得枉徒然。"
56,第五十六籤,癸卯,●○○　●●●,屬金利秋　宜其西方,"病中若得苦心勞、
到底完全總未遭、
去後不須回頭問、
心中事務盡消磨。"
57,第五十七籤,癸巳,○●●　○○○,屬水利冬　宜其北方,"勸君把定心莫虛、
前途清吉得運時、
到底中間無大事、
又遇神仙守安居。"
58,第五十八籤,癸未,○○●　○●●,屬木利春　宜其東方,"蛇身意欲變成龍、
只恐命內運未通、
久病且作寬心坐、
言語雖多不可從。"
59,第五十九籤,癸酉,●●●　●●○,屬金利秋　宜其西方,"有心作福莫遲疑、
求名清吉正當時、
此事必能成會合、
財寶自然喜相隨。"
60,第六十籤,癸亥,●●●　○●●,屬水利冬　宜其北方,"月出光輝本清吉、
浮雲總是蔽陰色、
戶內用心再作福、
當官分理便有益。"
61,頭籤,,,,"籤頭百事良 、
添油大吉昌 、
萬般皆如意 、
富貴福壽長 。"
62,籤首,,,,"來意欲求天上福、
誠心須點佛前燈、
名利兩全皆大吉、
平安酬謝油三斤。"
63,籤王,,,,"六十甲子加一枝、
未來求問神先知、
添丁添油增福壽、
富貴榮華必佑汝。"
